Places,Plays,Occurrences
España,278,2587
Castilla,164,1199
Roma,212,1026
Francia,170,997
Madrid,106,842
Toledo,130,785
Sevilla,105,765
Italia,187,657
Aragón,102,656
Granada,85,605
León,61,465
Nápoles,81,435
Valencia,78,419
Flandes,115,361
París,58,359
Argel,81,344
Troya,181,328
Milán,53,280
Navarra,52,273
Portugal,76,269
África,91,245
Barcelona,61,238
Grecia,119,215
Inglaterra,54,211
Córdoba,72,203
Indias,82,197
Sicilia,50,188
Zaragoza,47,184
Hungría,40,177
Alemania,75,176
Asia,59,166
Albania,37,160
Prado,34,145
Florencia,24,142
Jerusalén,51,135
Libia,74,131
Orán,36,126
Burgos,22,117
Europa,78,116
Venecia,40,110
Salamanca,38,110
Egipto,60,109
Galicia,40,102
Persia,38,100
Génova,24,98
Bretaña,14,91
Valladolid,35,86
Atenas,32,84
Zamora,31,83
Irlanda,12,81
Asturias,25,81
Arabia,59,78
Murcia,9,77
Túnez,29,76
Lisboa,26,74
Escocia,16,70
Andalucía,44,69
Tremecén,12,69
Londres,14,68
Alba,18,67
Alhambra,20,65
Chipre,26,64
Jaén,19,62
Constantinopla,35,61
India,38,59
Illescas,17,58
Plasencia,11,58
China,47,56
Arcadia,17,56
Marruecos,33,55
Bohemia,15,50
Babilonia,39,50
Malta,16,50
Ferrara,10,50
Olimpo,10,50
Israel,24,50
Vizcaya,29,49
Cádiz,31,49
Mantua,11,48
Etiopía,36,48
Polonia,10,48
Manzanares,20,48
Medina,10,47
Gibraltar,17,46
Holanda,18,45
Cartago,14,44
Lima,14,44
Tarfe,12,44
Ávila,16,43
Belén,16,42
Chile,7,42
Dalmacia,11,40
Fez,18,39
Cartagena,19,39
Berbería,27,38
Jerez,14,38
Austria,27,37
Fuente Ovejuna,1,36
Biserta,12,34
Triana,14,33
Macedonia,9,33
San Juan,18,33
Pamplona,14,32
Calabria,7,32
Brasil,5,32
Ciudad Real,9,32
Oviedo,14,32
Cerdeña,10,32
Creta,13,32
Denia,19,31
Alcalá,17,30
Belgrado,5,29
Guadarrama,20,29
Meca,19,28
Parma,5,27
Tenerife,4,27
Belflor,6,27
Bruselas,8,27
Cartama,3,26
Bolonia,15,26
Marsella,19,26
Ocaña,4,26
Scitia,23,26
Cataluña,19,26
Barajas,1,26
Jordán,18,25
Palencia,8,25
Talavera,13,24
Lerma,3,24
Duero,18,24
Japón,7,23
Getafe,9,23
Bengala,3,22
Montalbán,3,22
Dinamarca,6,22
Alicante,17,22
Siria,15,22
Alejandría,12,21
Écija,12,21
Villena,9,20
Panamá,1,20
Ceuta,13,20
Canaria,5,20
Santiago,16,20
Huesca,2,19
Verona,1,19
Sanlúcar,14,19
Urbino,5,19
Palermo,8,19
Villalba,6,19
Numancia,14,19
Tartaria,7,18
Fenicia,8,18
Mallorca,12,18
Guadalquivir,14,18
Membrilla,1,18
Jarama,8,17
Barleta,1,17
Tánger,10,17
Atocha,9,17
Borgoña,8,17
Armenia,9,17
Málaga,12,16
Benavente,6,16
Perpiñán,6,16
Moscovia,2,16
Ungría,1,16
Alcala,2,15
Córcega,6,15
Lusitania,10,15
Betis,13,15
Tebas,14,15
Cairo,8,15
Sierra Morena,13,15
Tudela,5,15
Jaca,7,15
Lepanto,7,14
Cuenca,12,14
Canaán,2,14
Sena,5,14
Lombardía,9,14
Palestina,10,14
Segovia,10,14
Turquía,13,14
Judea,11,14
Lanzarote,12,14
Casa del Campo,4,14
Guadalajara,11,13
Santa Fe,6,13
Nazarén,3,13
Tajo,12,13
Lorca,3,12
calle Mayor,6,12
Saboya,6,12
Castilla y León,9,12
Guinea,9,12
Pirineos,8,12
Albaicín,6,12
Transilvania,8,12
Ciudad Rodrigo,7,12
Andújar,4,12
Castellón,1,11
Alhama,2,11
Olmedo,2,11
Archidona,5,11
Gelanda,4,11
Mastrique,1,11
Ardea,1,11
Miraflor,4,11
Soto,4,11
Almería,11,11
Sajonia,6,11
Sión,6,11
Fuenterrabía,6,11
Tiro,4,10
San Dionís,9,10
Líbano,10,10
Narbona,8,10
Catania,1,10
Tesalia,8,10
Amalfi,1,10
Etna,9,10
Astorga,7,10
Antequera,8,10
Danubio,8,10
Noruega,8,9
Hircania,9,9
Gran Canaria,2,9
Lesbos,1,9
Ferrol,4,9
Antártico,7,9
Suecia,2,9
Frisia,5,9
Epiro,4,9
Alcázar,4,9
Gange,4,9
Ancona,3,9
Cáucaso,9,9
Haití,1,8
Provenza,4,8
Compostela,6,8
Nilo,8,8
Cerdania,4,8
Baza,4,8
Alpujarras,7,8
Citia,8,8
Candia,6,8
Corinto,6,8
Sierra Nevada,7,8
Anamur,3,8
Melilla,7,8
